addr_full,brand,brand_wikidata,city,country,email,extras,housenumber,lat,lon,name,opening_hours,phone,postcode,ref,state,store_url,street,website
"Майкоп, Строителей, 1",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,44.6341, 40.1234,,,,,115,,,,https://www.gpnbonus.ru/
"Добруш, М10 (25 КМ, СПРАВА)",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,52.3862, 31.2764,,,,,116,,,,https://www.gpnbonus.ru/
"Хомяково, Дмитровская 19, стр. 1",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,56.4152, 37.9890,,,,,117,,,,https://www.gpnbonus.ru/
"Омск, Ватутина, 24, 7",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,54.9783, 73.2974,,,,,118,,,,https://www.gpnbonus.ru/
"Нур-Султан, С-189, 4",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,51.1718, 71.3727,,,,,119,,,,https://www.gpnbonus.ru/
"Воронеж, Ветряк, Транспортная, 6",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,51.770, 39.1920,,,,,120,,,,https://www.gpnbonus.ru/
"Санкт-Петербург, Московское, 296",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,59.7569, 30.479,,,,,121,,,,https://www.gpnbonus.ru/
"Рыбинск, 9 Мая, 45",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,58.0433, 38.7945,,,,,122,,,,https://www.gpnbonus.ru/
"Москва, Осенняя, 23Б",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,55.7674, 37.4039,,,,,123,,,,https://www.gpnbonus.ru/
"Б.Бурунов, Вахдат, уч Чиртак ( дорога Вахдат - Нурек)",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,38.531, 69.025,,,,,124,,,,https://www.gpnbonus.ru/
"Ревда, Клубная, 63",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,56.8117, 59.9354,,,,,125,,,,https://www.gpnbonus.ru/
"Кемерово, Железнодорожная, 4а",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,55.3575, 86.041,,,,,126,,,,https://www.gpnbonus.ru/
"Омск, 4-я Челюскинцев, 6В",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,55.0119, 73.4202,,,,,127,,,,https://www.gpnbonus.ru/
"Бишкек, Киевская, 42",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,42.8739, 74.6156,,,,,128,,,,https://www.gpnbonus.ru/
"Краснодар, Краснодар-Кропоткин (16 км, слева)",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,45.0182, 39.1501,,,,,129,,,,https://www.gpnbonus.ru/
"Витебск, Р-20 (12 км слева)",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,55.1864, 30.0954,,,,,130,,,,https://www.gpnbonus.ru/
"Черново, Северная часть",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,56.0570, 38.5502,,,,,131,,,,https://www.gpnbonus.ru/
"Саранск, Сущинского, 44Д",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,54.2058, 45.2413,,,,,132,,,,https://www.gpnbonus.ru/
"Воронеж, Матросова, 100е",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,51.6440, 39.1531,,,,,133,,,,https://www.gpnbonus.ru/
"Санкт-Петербург, Московское, 295 А",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,59.7582, 30.4811,,,,,134,,,,https://www.gpnbonus.ru/
"Сосновый Бор, Парковая, 11",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,59.9094, 29.0769,,,,,135,,,,https://www.gpnbonus.ru/
"Москва, Барклая, 26",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,55.7517, 37.4942,,,,,136,,,,https://www.gpnbonus.ru/
"А.Абдулвосиев, Участок Гулрез",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,38.5660, 69.0677,,,,,137,,,,https://www.gpnbonus.ru/
"Новосибирск, Кутателадзе, 5",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,54.8590, 83.1001,,,,,138,,,,https://www.gpnbonus.ru/
"Кемерово, Волгоградская, 47в, 1",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,55.3256, 86.163,,,,,139,,,,https://www.gpnbonus.ru/
